순번,순위,도서명,저자,출판사,발행년도,ISBN13,대출건수,주제분류명
50,50,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,9791168416314,11171,문학 > 한국문학 > 소설
51,51,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,9788936448523,11100,문학 > 한국문학 > 소설
52,52,영원한 천국 :정유정 장편소설 ,지은이: 정유정,은행나무,2024,9791167374561,11073,문학 > 한국문학 > 소설
53,53,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,9788936448011,11039,문학 > 한국문학 > 소설
54,53,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,9791168412248,11039,문학 > 한국문학 > 소설
55,55,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,9788934980254,10935,자연과학 > 자연과학 > 자연과학
56,56,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,9791168415034,10926,문학 > 한국문학 > 소설
57,57,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,9788936448370,10924,문학 > 한국문학 > 소설
58,58,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,9791168413955,10909,문학 > 한국문학 > 소설
59,59,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,9788934979814,10902,자연과학 > 자연과학 > 자연과학
60,60,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 ,지은이: 이미예,팩토리나인,2020,9791165341909,10880,문학 > 한국문학 > 소설
61,61,아버지의 해방일지 :정지아 장편소설 ,지은이: 정지아,창비,2022,9788936438838,10840,문학 > 한국문학 > 소설
62,62,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,9788934935193,10823,자연과학 > 자연과학 > 자연과학
63,63,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,9788934989257,10742,자연과학 > 자연과학 > 자연과학
64,64,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,9788934946625,10711,자연과학 > 자연과학 > 자연과학
65,65,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,9791168415331,10674,문학 > 한국문학 > 소설
66,66,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명 ,벤저민 하디 지음 ;최은아 옮김,상상스퀘어,2023,9791192389325,10664,사회과학 > 경제학 > 경영관리
67,67,어른의 행복은 조용하다 ,글: 태수,페이지2북스,2024,9791169851053,10657,문학 > 한국문학 > 르포르타주 및 기타
68,68,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,9788954681179,10597,문학 > 한국문학 > 소설
69,69,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,9788934944546,10559,자연과학 > 자연과학 > 자연과학
70,70,(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다 ,코이케 류노스케 지음 ;박재현 옮김,콘텐츠그룹 포레스트,2024,9791193506516,10400,"종교 > 불교 > 법어, 신앙록, 신앙생활"
71,71,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,9788936448134,10372,문학 > 한국문학 > 소설
72,72,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791168417984,10071,자연과학 > 생물과학 > 생물학
73,73,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,9791190409124,10061,문학 > 한국문학 > 소설
74,74,흔한남매 이무기 :이해하면 무서운 이야기,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2023,9791168415577,10018,문학 > 한국문학 > 한국문학
75,75,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,2023,9791168415355,9969,역사 > 지리 > 지리
76,76,흔한남매 과학 탐험대 3 : 인체,"흔한남매 (원작), 이재국, 이현진, 서지은 (글), 김덕영 (그림), 정현철, 김희목, 권경아, 최진수, 박준건 (기획)",주니어김영사,2021,9788934983439,9964,
77,77,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,9791191824001,9858,문학 > 한국문학 > 소설
78,78,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기 ,패트릭 브링리 지음 ;조현주 옮김,웅진씽크빅,2023,9788901276533,9831,문학 > 영미문학 > 르포르타주 및 기타
79,79,흔한남매 과학 탐험대 5 : 물리 1,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)",주니어김영사,2022,9788934940753,9818,
80,80,당신이 누군가를 죽였다 ,지은이: 히가시노 게이고 ;옮긴이: 최고은,교보문고,2024,9791170611561,9812,문학 > 일본문학 > 소설
81,81,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,9791168419018,9811,자연과학 > 자연과학 > 자연과학
82,82,흔한남매 과학 탐험대 4 : 물질,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 최진수 (감수), 정현철, 김희목, 권경아, 최진수 (기획)",주니어김영사,2022,9788934930549,9787,
83,83,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791168418783,9779,자연과학 > 생물과학 > 생물학
84,84,고전이 답했다 :마땅히 살아야 할 삶에 대하여 ,고명환 지음,라곰,2024,9791193939130,9770,"철학 > 윤리학, 도덕철학 > 도덕훈, 교훈"
85,85,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,9791189327156,9747,자연과학 > 동물학 > 동물학
86,86,순례 주택 :유은실 소설 ,지은이: 유은실,비룡소,2021,9788949123493,9672,문학 > 한국문학 > 소설
87,87,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,9791198511577,9664,문학 > 한국문학 > 소설
88,88,죽이고 싶은 아이 :이꽃님 장편소설,지은이: 이꽃님,우리학교,2024,9791167552723,9656,문학 > 한국문학 > 소설
89,89,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791168415539,9634,자연과학 > 생물과학 > 생물학
90,90,흔한남매 과학 탐험대 6 : 물리 2,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)",주니어김영사,2022,9788934946793,9606,
